"","organization","work_area","project","survey","site_id","date","sampling_bout","dive_supervisor","surveyor","hakai_id","sample_type","depth","transect_dist_m","collected_start","collected_end","density","density__m2_","canopy_height_cm","flowering_shoots","quality_log","substrate","decimal_lat","decimal_long","end_transect_decimal_lat","end_transect_decimal_lon"
"1","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE10","2015-05-27",10,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE10_0","seagrass_density",3.7,0,"5/27/2015 13:28","5/27/2015 0:00",8,128,170,NA,"1: 10 Tubesnouts, ~9cm",NA,NA,NA,NA,NA
"2","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE10","2015-05-27",10,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE10_10","seagrass_density",4,10,"5/27/2015 13:31","5/27/2015 0:00",8,128,130,NA,"1: Des",NA,NA,NA,NA,NA
"3","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE10","2015-05-27",10,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE10_15","seagrass_density",3,15,"5/27/2015 13:32","5/27/2015 0:00",7,112,130,NA,NA,NA,NA,NA,NA,NA
"4","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE10","2015-05-27",10,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE10_20","seagrass_density",3,20,"5/27/2015 13:33","5/27/2015 0:00",10,160,140,NA,"1: Des + smith",NA,NA,NA,NA,NA
"5","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE10","2015-05-27",10,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE10_25","seagrass_density",3.7,25,"5/27/2015 13:34","5/27/2015 0:00",8,128,130,NA,NA,NA,NA,NA,NA,NA
"6","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE10","2015-05-27",10,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE10_30","seagrass_density",3.4,30,"5/27/2015 13:35","5/27/2015 0:00",7,112,130,NA,NA,NA,NA,NA,NA,NA
"7","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE10","2015-05-27",10,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE10_35","seagrass_density",3,35,"5/27/2015 13:36","5/27/2015 0:00",9,144,110,NA,NA,NA,NA,NA,NA,NA
"8","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE10","2015-05-27",10,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE10_40","seagrass_density",3,40,"5/27/2015 13:37","5/27/2015 0:00",10,160,130,NA,NA,NA,NA,NA,NA,NA
"9","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE10","2015-05-27",10,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE10_5","seagrass_density",3.7,5,"5/27/2015 13:30","5/27/2015 0:00",6,96,140,NA,"1: Note: heights with fish stick rather than measuring tape",NA,NA,NA,NA,NA
"10","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE12","2015-05-27",12,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE12_0","seagrass_density",4,0,"5/27/2015 9:58","5/27/2015 0:00",14,224,160,NA,"1: EDGE of sandy patch",NA,NA,NA,NA,NA
"11","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE12","2015-05-27",12,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE12_10","seagrass_density",4.6,10,"5/27/2015 9:52","5/27/2015 0:00",8,128,130,NA,"1: QCB, 6cm",NA,NA,NA,NA,NA
"12","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE12","2015-05-27",12,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE12_15","seagrass_density",4.9,15,"5/27/2015 9:50","5/27/2015 0:00",7,112,150,NA,"1: heavy Des",NA,NA,NA,NA,NA
"13","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE12","2015-05-27",12,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE12_20","seagrass_density",5.2,20,"5/27/2015 9:49","5/27/2015 0:00",10,160,180,NA,"1: heavy Smith",NA,NA,NA,NA,NA
"14","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE12","2015-05-27",12,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE12_25","seagrass_density",5.2,25,"5/27/2015 9:48","5/27/2015 0:00",12,192,180,NA,"1: Heavy Des coverage",NA,NA,NA,NA,NA
"15","HAKAI","CALVERT","MARINEGEO","CHOKED_PASS","CHOKED_PASS_EDGE12","2015-05-27",12,NA,"tristan","2015-05-27_CHOKED_PASS_EDGE12_30","seagrass_density",5.5,30,"5/27/2015 9:46","5/27/2015 0:00",9,144,170,NA,NA,NA,NA,NA,NA,NA
