Organization,Work Area,Project,Survey,Site ID,Date,Sampling Bout,Dive Supervisor,Surveyor,Hakai ID,Sample Type,Depth,Transect Dist (m),Collected Start,Collected End,Density,Density (m2),Canopy height (cm),flowering_shoots,Comments,Quality Log
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2021-08-06,1,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE1_10,seagrass_density,3.4,10,2021-08-06 02:28:00,2021-08-06 02:34:00,3,48,90,,,1: QCd by CP
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2021-08-06,1,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE1_30,seagrass_density,3.1,30,2021-08-06 02:28:00,2021-08-06 02:34:00,4,64,80,,,1: QCd by CP
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2021-08-06,1,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE1_25,seagrass_density,3.2,25,2021-08-06 02:28:00,2021-08-06 02:34:00,0,0,100,,,1: QCd by CP
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2021-08-06,1,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE1_20,seagrass_density,3.4,20,2021-08-06 02:28:00,2021-08-06 02:34:00,4,64,125,,,1: QCd by CP
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2021-08-06,1,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE1_15,seagrass_density,3.5,15,2021-08-06 02:28:00,2021-08-06 02:34:00,2,32,150,,,1: QCd by CP
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2021-08-06,1,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE1_5,seagrass_density,3.3,5,2021-08-06 02:28:00,2021-08-06 02:34:00,0,0,50,,,1: QCd by CP
HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2021-08-06,1,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE1_0,seagrass_density,3.1,0,2021-08-06 02:28:00,2021-08-06 02:34:00,4,64,70,,,1: QCd by CP
HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,2021-08-10,4,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR4_30,seagrass_density,4.1,30,2021-08-10 07:40:00,2021-08-10 07:49:00,9,144,250,,,1: QCd by KB
HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,2021-08-10,4,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR4_25,seagrass_density,4.2,25,2021-08-10 07:40:00,2021-08-10 07:49:00,8,128,250,,,1: QCd by KB
HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,2021-08-10,4,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR4_20,seagrass_density,4.1,20,2021-08-10 07:40:00,2021-08-10 07:49:00,8,128,275,,,1: QCd by KB
