,organization,work_area,project,survey,site_id,date,sampling_bout,dive_supervisor,surveyor,hakai_id,sample_type,depth,transect_dist_m,collected_start,collected_end,density,density__m2_,canopy_height_cm,flowering_shoots,comments,quality_log
1,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2021-08-06,1,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE1_10,seagrass_density,3.4,10,8/6/2021 2:28,8/6/2021 2:34,3,48,90,NA,NA,1: QCd by CP
2,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2021-08-06,1,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE1_30,seagrass_density,3.1,30,8/6/2021 2:28,8/6/2021 2:34,4,64,80,NA,NA,1: QCd by CP
3,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2021-08-06,1,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE1_25,seagrass_density,3.2,25,8/6/2021 2:28,8/6/2021 2:34,0,0,100,NA,NA,1: QCd by CP
4,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2021-08-06,1,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE1_20,seagrass_density,3.4,20,8/6/2021 2:28,8/6/2021 2:34,4,64,125,NA,NA,1: QCd by CP
5,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2021-08-06,1,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE1_15,seagrass_density,3.5,15,8/6/2021 2:28,8/6/2021 2:34,2,32,150,NA,NA,1: QCd by CP
6,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2021-08-06,1,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE1_5,seagrass_density,3.3,5,8/6/2021 2:28,8/6/2021 2:34,0,0,50,NA,NA,1: QCd by CP
7,HAKAI,CALVERT,MARINEGEO,PRUTH_BAY,PRUTH_BAY_EDGE1,2021-08-06,1,"carolyn,faye,krystal",derek,2021-08-06_PRUTH_BAY_EDGE1_0,seagrass_density,3.1,0,8/6/2021 2:28,8/6/2021 2:34,4,64,70,NA,NA,1: QCd by CP
8,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,2021-08-10,4,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR4_30,seagrass_density,4.1,30,8/10/2021 7:40,8/10/2021 7:49,9,144,250,NA,NA,1: QCd by KB
9,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,2021-08-10,4,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR4_25,seagrass_density,4.2,25,8/10/2021 7:40,8/10/2021 7:49,8,128,250,NA,NA,1: QCd by KB
10,HAKAI,CALVERT,MARINEGEO,KOEYE_ESTUARY,KOEYE_ESTUARY_INTERIOR4,2021-08-10,4,"carolyn,faye,krystal",derek,2021-08-09_KOEYE_ESTUARY_INTERIOR4_20,seagrass_density,4.1,20,8/10/2021 7:40,8/10/2021 7:49,8,128,275,NA,NA,1: QCd by KB
